name,slug,created_at,updated_at,id
Guns n' Roses,guns-n-roses,2020-02-22 16:16:05.076618,2020-02-22 16:16:05.076618,4ec1da4c-8890-4203-b787-97668ce0ac0b
Prince,prince,2020-02-22 16:16:05.577724,2020-02-22 16:16:05.577724,f14f9461-8cd5-44b6-8775-beb020a67486
"The Disco Biscuits, Zuniga",the-disco-biscuits-zuniga,2020-02-22 16:16:05.700917,2020-02-22 16:16:05.700917,edb2307c-4e52-41f6-be6c-0f5f9ca8c84a
"Hamlisch, Kleban",hamlisch-kleban,2020-02-22 16:16:05.779466,2020-02-22 16:16:05.779466,6e9875fc-cb50-4cf7-8210-5812e3a68186
Jeff Holdsworth,jeff-holdsworth,2020-02-22 16:16:05.919059,2020-02-22 16:16:05.919059,44226f3d-4987-4669-8d69-85b5620e14ac
Edward Elgar,edward-elgar,2020-02-22 16:16:06.048864,2020-02-22 16:16:06.048864,e263850e-a5ea-4c3a-83ad-ef72c72afc5a
Freddie Hubbard,freddie-hubbard,2020-02-22 16:16:06.170866,2020-02-22 16:16:06.170866,178616e5-3102-445d-8a14-bdbf4c8b3925
"Magner, Lesser",magner-lesser,2020-02-22 16:16:06.416946,2020-02-22 16:16:06.416946,68c84ffd-40d7-4e8b-94d8-a19632ac4499
Schubert,schubert,2020-02-22 16:16:06.541023,2020-02-22 16:16:06.541023,6085b4b8-3cd0-4d52-aea8-e762f28ddf40
Sesame Street,sesame-street,2020-02-22 16:16:06.620376,2020-02-22 16:16:06.620376,37c37be7-145c-4b50-9b86-350f2b53fe9b
Gary Glitter,gary-glitter,2020-02-22 16:16:06.685554,2020-02-22 16:16:06.685554,21881e2d-60e6-4477-b85f-17d0021dab19
Sausage,sausage,2020-02-22 16:16:06.753965,2020-02-22 16:16:06.753965,0218c4f7-3483-4abf-b6d6-0d8fd10530be
Santana,santana,2020-02-22 16:16:06.894398,2020-02-22 16:16:06.894398,db6356aa-db34-47ac-8ffa-1d1cfd6835a0
Jane's Addiction,jane-s-addiction,2020-02-22 16:16:07.195821,2020-02-22 16:16:07.195821,f0a9f3fa-4148-4a4c-aae3-e663ab9c0f15
Tschaikovsky,tschaikovsky,2020-02-22 16:16:07.236772,2020-02-22 16:16:07.236772,c2e2ea22-fb95-4596-be0e-a3d2fd04e01c
Dizzy Gillespie,dizzy-gillespie,2020-02-22 16:16:07.414833,2020-02-22 16:16:07.414833,2f4d3f8c-0e4a-4ba7-97d2-905ed896c9f6
Willie Nelson,willie-nelson,2020-02-22 16:16:07.553107,2020-02-22 16:16:07.553107,68f78405-1ad4-4f3b-bec5-d21dbf6a1047
The Disco Biscuits/The New Deal,the-disco-biscuits-the-new-deal,2020-02-22 16:16:07.800305,2020-02-22 16:16:07.800305,26b6eb4b-2b9e-44cf-a34a-ed61639e27ab
Lynyrd Skynyrd,lynyrd-skynyrd,2020-02-22 16:16:07.903373,2020-02-22 16:16:07.903373,6607ef3b-ca9c-4ba2-8ef4-f1370ddfc63a
Grieg,grieg,2020-02-22 16:16:07.958791,2020-02-22 16:16:07.958791,2876048e-ba97-4544-9fea-1cb4d339cefd
Bob Marley,bob-marley,2020-02-22 16:16:08.192674,2020-02-22 16:16:08.192674,1a0b0cb6-7781-4cab-81e4-2af5cb6db035
Men Without Hats,men-without-hats,2020-02-22 16:16:08.289629,2020-02-22 16:16:08.289629,91448637-5361-4870-9561-771a101b1fa6
Aram Khatchaturian,aram-khatchaturian,2020-02-22 16:16:08.399557,2020-02-22 16:16:08.399557,10819154-e5e4-4305-a410-6d7235716c32
Trey Parker/Matt Stone,trey-parker-matt-stone,2020-02-22 16:16:08.463225,2020-02-22 16:16:08.463225,476422e7-741b-448f-8e56-9ab0a33bb7b6
Disco Biscuits,disco-biscuits,2020-02-22 16:16:08.619665,2020-02-22 16:16:08.619665,e3b85783-5df5-436a-a497-8bb3e40e8a99
Prokofiev,prokofiev,2020-02-22 16:16:08.742444,2020-02-22 16:16:08.742444,b66d73bd-daac-4831-9543-903a88fc3ccb
Cat Stevens,cat-stevens,2020-02-22 16:16:08.840339,2020-02-22 16:16:08.840339,8d367068-7bc3-42b7-a9e0-c1ea3adaf168
Spacehog,spacehog,2020-02-22 16:16:08.918768,2020-02-22 16:16:08.918768,d3e6c7d1-71e2-42d9-bda8-a22cf4ce20bd
Mahavishnu Orchestra,mahavishnu-orchestra,2020-02-22 16:16:09.132257,2020-02-22 16:16:09.132257,b3c98e50-569b-4be4-b662-04663d1ffdf5
Tchaikovsky,tchaikovsky,2020-02-22 16:16:09.268484,2020-02-22 16:16:09.268484,a7b67347-168e-45ff-9b19-e9b399e831ac
Beastie Boys,beastie-boys,2020-02-22 16:16:09.494631,2020-02-22 16:16:09.494631,2808b6a7-afe1-4ccb-bef6-ee4005dde2c0
Umphrey's McGee,umphrey-s-mcgee,2020-02-22 16:16:09.596123,2020-02-22 16:16:09.596123,97fdc6ba-e398-4f76-aa85-3e616aec81c0
Simon Posford/Disco Biscuits,simon-posford-disco-biscuits,2020-02-22 16:16:09.687185,2020-02-22 16:16:09.687185,5f6e0fb3-6f28-4b54-b477-627fe6376966
Bach,bach,2020-02-22 16:16:09.741531,2020-02-22 16:16:09.741531,5f3ac14d-b297-48ab-81f6-4bcc446ec28b
Devo,devo,2020-02-22 16:16:09.825816,2020-02-22 16:16:09.825816,f12ecf62-c667-4162-9345-1693b5bf9df7
Nirvana,nirvana,2020-02-22 16:16:09.919308,2020-02-22 16:16:09.919308,8547656e-8077-4325-8f4d-67338dcea262
Air,air,2020-02-22 16:16:09.997550,2020-02-22 16:16:09.997550,e4903216-c8e6-4a47-a623-70c42706dd2e
JM2,jm2,2020-02-22 16:16:10.141602,2020-02-22 16:16:10.141602,d657e1ed-b1a5-4ef2-bc01-df0196296b69
Guns N' Roses,guns-n-roses-2,2020-02-22 16:16:10.229388,2020-02-22 16:16:10.229388,2e4cd710-18f3-4c9f-86b4-391b10ef259b
David Bowie,david-bowie,2020-02-22 16:16:10.291554,2020-02-22 16:16:10.291554,5e824b7e-685c-4a0a-885a-8b43354e0ccb
The Rolling Stones,the-rolling-stones,2020-02-22 16:16:10.447874,2020-02-22 16:16:10.447874,6338b54a-53df-44ed-979a-2554d6078daa
Carl Orff,carl-orff,2020-02-22 16:16:10.534249,2020-02-22 16:16:10.534249,a558f94b-73e0-4878-bb46-b94792b1a2d1
The Who,the-who,2020-02-22 16:16:10.669811,2020-02-22 16:16:10.669811,aa0572b8-fcb9-40d5-9ce0-b4d3f62c55b5
